,time,temperature_2m,Snow_albedo,snow_melt,surface_pressure,Total_column_ozone
0,1979-01-01,248.0489892231044,0.8428065402237036,2.1489995372807012e-07,99971.6274916144,0.007568717380550541
1,1979-02-01,243.4395905737583,0.8361004668937803,7.621430894692982e-07,99641.23704539113,0.009260538846479371
2,1979-03-01,249.05599814364007,0.8345081863803571,8.765568928764598e-07,100240.04224127693,0.01003967456849392
3,1979-04-01,254.59929808670034,0.8382578374412277,3.1771892676315135e-05,100369.27096361155,0.009608828756830909
4,1979-05-01,265.4954571246385,0.8425889486844363,0.000303463430630384,99839.27970209953,0.008513969612390341
5,1979-06-01,273.15855841280097,0.849296267317464,0.0005856231062738493,99124.0736643444,0.007665988546863204
6,1979-07-01,275.655296222012,0.8700504873235355,0.00015978980813278023,99140.07380776912,0.006809859460095775
7,1979-08-01,274.38197922807217,0.8696197774904899,5.619409052310817e-05,99425.84972801986,0.006414228658651372
8,1979-09-01,269.3656747215638,0.853704905192401,5.73216968026756e-05,99393.89821494457,0.006193099125078917
9,1979-10-01,260.6945489833326,0.8506007874312274,9.279547095630918e-06,99545.50097386401,0.006347175546812931
10,1979-11-01,253.09119509963313,0.8526598385540431,1.896891602299702e-06,99096.33719129731,0.007212997741546613
11,1979-12-01,249.89233081066996,0.8521744551638133,1.5825990111067262e-06,98599.46217294894,0.007466542860010153
12,1980-01-01,249.61729138603684,0.8476934159706773,3.7681185450365516e-07,100086.646854944,0.007470778204284905
13,1980-02-01,250.1035219571592,0.8456979699991202,1.593782246216376e-06,99170.92460546017,0.008476276244695055
14,1980-03-01,251.96410510972828,0.8416134200090024,3.983800397076024e-08,99955.68450788282,0.00992086097886324
15,1980-04-01,255.91825324758724,0.8406907919282018,2.8609315220018995e-05,99862.61851113747,0.009809612686549462
16,1980-05-01,266.88784106366955,0.8438498801454036,0.0002709116551566513,100152.77957670882,0.008671106996787163
17,1980-06-01,273.63773274773,0.8501051984291007,0.0006059322383230736,99077.98445335116,0.007715516460073298
18,1980-07-01,275.3828386602317,0.8716814848411772,0.00011948882125723965,99415.48899224773,0.006960423994173207
19,1980-08-01,274.05862551462366,0.8719010368829585,4.6422341870306075e-05,99041.90829260452,0.006652043482762557
20,1980-09-01,268.10121743055396,0.8592346796464199,4.548982366974091e-05,99086.11155927043,0.0062842159154040105
21,1980-10-01,261.5796692057691,0.8521748925464893,1.6895019042795356e-05,99177.83670376427,0.006323470251282869
22,1980-11-01,250.41476655797592,0.849536288617177,4.068715613437856e-06,99832.89022092153,0.006595722107484571
23,1980-12-01,248.13804553902986,0.8446688071464149,1.5624707620760234e-07,99458.9608811557,0.006547457402774941
24,1981-01-01,249.55133526213882,0.8471899720320126,2.8472088881973655e-06,98580.63275359278,0.007366507900174688
25,1981-02-01,249.84824604320187,0.8471914185139551,2.255774898538012e-08,99272.81420781247,0.008968332682865348
26,1981-03-01,250.55883277171733,0.8432531642200233,1.141441808133771e-06,100107.57455313156,0.009406731114162414
27,1981-04-01,257.44501307127445,0.8447814270013868,1.8050973244657213e-05,99614.60827778623,0.009024501874922965
28,1981-05-01,266.5126125720026,0.8457277488930072,0.00034063866722633,99385.50247933777,0.008329853043498744
29,1981-06-01,273.8943328005865,0.85273949102823,0.0006654813863797906,99516.58195597529,0.0075640287103678405
30,1981-07-01,275.39126002076347,0.8721967486796011,0.00010448134881814062,98899.9823057133,0.0068407234271733106
31,1981-08-01,274.4383705246396,0.8700076100248134,6.845730236381928e-05,99046.06223162737,0.006312679184084948
32,1981-09-01,268.97504891761696,0.8555593478676795,5.1214728898912095e-05,99671.06999568625,0.0060828029023891755
33,1981-10-01,261.959724045541,0.8531387973185082,1.8137102908621365e-05,100057.99070958744,0.00618774318472659
34,1981-11-01,255.41034489627748,0.8553249123198292,2.8237576063501487e-06,99198.89276647347,0.006640645858104595
35,1981-12-01,250.72865456952502,0.8531991504015338,3.580998339576023e-07,99448.94083202748,0.0074688763841296284
36,1982-01-01,247.41515567887592,0.8444835277410676,1.521999269735378e-06,99654.44908006102,0.007946771961146347
37,1982-02-01,248.52856172368055,0.8416584992110202,1.2763332575504378e-06,99204.16037782156,0.008707311750208066
38,1982-03-01,250.41617393376583,0.8396023410031992,1.0553580422850875e-06,99345.6390015202,0.009099693747430554
39,1982-04-01,255.12660188092545,0.8454075285286438,4.542880123135448e-05,99311.63216999939,0.009948561850058884
40,1982-05-01,264.99329131439606,0.8424773338291508,0.00027703626331179997,100073.38263953677,0.00875218015952859
41,1982-06-01,273.4443018369945,0.8470005056443078,0.0007096149879454618,99715.86844626245,0.007622662543219627
42,1982-07-01,275.66647300556076,0.8725851040189263,9.412192503496352e-05,98987.11990374674,0.006878249097844527
43,1982-08-01,274.31753507932063,0.8704411848708761,3.65589099567869e-05,99144.22484022447,0.006341394390591336
44,1982-09-01,269.0952849860416,0.8572976956939463,5.1481459419746526e-05,98926.62701567406,0.006219238895922595
45,1982-10-01,260.94174287850456,0.8539470626475405,6.049328441921821e-06,99502.3989935805,0.006268831494612689
46,1982-11-01,252.96558845994684,0.8519488666704856,6.39857780510891e-06,99452.16569518433,0.0064194094340504744
47,1982-12-01,250.4115957240451,0.8460671062321029,1.9944789950241225e-06,99116.61869434147,0.006991562378791802
48,1983-01-01,248.50816814825347,0.8447551601346481,2.8531721259649083e-07,98968.54708289311,0.007611000393038966
49,1983-02-01,248.8343690948824,0.8409594939717391,1.6556774858326002e-06,99351.51655118902,0.008509819040551212
50,1983-03-01,252.7960491979451,0.8398358761871534,6.291219389290932e-07,99548.71867348376,0.00920513729758621
