,     Extent,time,xco2,xch4
129,11.977,2003-06-11,375.70444,1743.7815
130,11.942,2003-06-12,374.40247,1745.2898
131,11.802,2003-06-13,374.39902,1746.8842
132,11.048,2003-06-25,371.7825,1748.9731
133,9.443,2003-07-14,374.1273,1748.5858
134,9.366,2003-07-15,373.4813,1750.3618
135,9.237,2003-07-16,374.34512,1747.3883
136,9.11,2003-07-17,372.71768,1749.0369
137,9.007,2003-07-18,372.83667,1749.8569
138,8.951,2003-07-19,371.9414,1750.2363
139,8.862,2003-07-20,372.10626,1747.9595
140,8.751,2003-07-21,373.1133,1749.0485
141,8.646,2003-07-22,373.47574,1753.5171
142,8.53,2003-07-23,372.99,1748.6566
143,8.408,2003-07-24,373.1159,1752.0735
144,8.234,2003-07-28,371.48062000000004,1740.0157
145,8.148,2003-07-29,370.6155,1749.9102
146,8.059,2003-07-30,371.7859,1749.095
147,7.947,2003-07-31,371.8331,1750.2083
148,7.788,2003-08-01,369.44266,1750.8135
149,7.722,2003-08-02,371.90192,1753.0521
150,7.555,2003-08-03,371.7535,1749.5156
151,7.601,2003-08-04,370.2545,1754.0885
152,7.538,2003-08-05,370.15265,1754.7320000000002
153,7.51,2003-08-06,370.45923,1758.7291
154,7.299,2003-08-07,369.36536,1754.7067
155,7.202,2003-08-08,371.49567,1755.6569
156,7.17,2003-08-09,369.79236000000003,1751.3136
157,7.109,2003-08-10,370.4001,1749.4098
158,7.1,2003-08-11,371.74924,1755.1688
159,7.103,2003-08-12,369.93582000000004,1757.4364
160,6.476,2003-08-29,375.00085,1767.9843
161,6.461,2003-08-30,372.20255,1763.4584
162,6.395,2003-08-31,371.92166000000003,1762.4542
163,6.283,2003-09-01,373.1416,1752.7113
164,6.321,2003-09-02,372.69417999999996,1759.0910000000001
165,6.252,2003-09-03,371.52423,1757.1132
166,6.241,2003-09-04,372.92900000000003,1755.5249
167,6.11,2003-09-08,372.7819,1757.9005
168,6.103,2003-09-09,372.45184,1755.4718
169,6.065,2003-09-10,371.43627999999995,1751.2704
170,6.04,2003-09-11,370.84424,1760.2554
171,6.055,2003-09-12,369.0108,1760.4949
172,6.103,2003-09-13,370.90594,1760.3438
173,6.023,2003-09-14,371.52615,1759.8953
174,6.032,2003-09-15,371.47546,1764.8759
175,6.037,2003-09-16,371.0299,1764.8701
176,5.969,2003-09-17,371.1959,1763.889
177,5.975,2003-09-18,371.6104,1757.1437
178,6.095,2003-09-19,371.50214,1759.0499
179,6.16,2003-09-20,371.55246,1756.181
180,6.093,2003-09-21,371.3302,1755.106
181,5.998,2003-09-22,371.76135,1759.345
182,6.033,2003-09-23,371.76062,1754.8407
183,6.051,2003-09-24,373.24712999999997,1757.6570000000002
184,6.149,2003-09-25,372.8205,1757.0559
185,6.133,2003-09-26,372.94513,1765.2942
186,6.125,2003-09-27,373.11435,1761.0276
187,6.169,2003-09-28,373.5266,1762.1807
188,6.201,2003-09-29,373.22665,1763.7236
189,6.296,2003-09-30,373.06915,1756.0934
190,6.441,2003-10-01,373.18057000000005,1761.9987
191,6.484,2003-10-02,372.74347,1761.2220000000002
192,6.572,2003-10-03,373.89867999999996,1753.2122
193,6.643,2003-10-04,373.12307999999996,1757.2649
194,6.764,2003-10-05,372.68082000000004,1756.5613
195,6.829,2003-10-06,373.71906,1756.0510000000002
196,6.911,2003-10-07,373.35995,1757.9597
197,6.985,2003-10-08,373.0052,1757.4832
198,6.958,2003-10-09,374.02283,1760.3586
199,7.003,2003-10-10,374.1106,1754.3196
200,7.076,2003-10-11,373.3822,1760.8625
201,7.144,2003-10-12,372.77112,1752.6345
202,7.36,2003-10-13,374.44077000000004,1758.1147
203,7.582,2003-10-14,374.15244,1756.4594
204,7.688,2003-10-15,374.18102999999996,1753.1896
205,7.813,2003-10-16,374.10086,1754.2262
206,7.937,2003-10-17,374.41922,1752.3556
207,8.111,2003-10-18,373.68134,1760.1337
208,8.275,2003-10-19,374.38696,1752.1112
209,8.431,2003-10-20,374.05697999999995,1756.0876
210,8.575,2003-10-21,373.31885,1750.5161
211,8.672,2003-10-22,374.7902,1756.9669
212,8.822,2003-10-23,374.80377000000004,1756.0964
213,8.923,2003-10-24,373.8228,1758.1407
214,8.919,2003-10-25,374.89423,1747.5045
215,8.945,2003-10-26,374.30154,1748.9985
216,9.009,2003-10-27,373.5314,1754.1877
217,9.044,2003-10-28,374.87054,1716.0785
218,9.075,2003-10-29,374.4611,1751.7504
219,9.113,2003-10-30,374.3991,1751.9669
220,9.193,2003-10-31,375.10757,1755.0396
221,9.438,2003-11-03,373.96545,1749.2551
222,9.481,2003-11-04,374.51794,1752.0753
223,9.435,2003-11-05,374.09125,1761.0505
224,9.441,2003-11-06,373.88766,1758.4379
225,9.5,2003-11-07,374.35927999999996,1749.0114
226,9.602,2003-11-08,374.57495,1750.9025
227,9.607,2003-11-09,374.6354,1743.6328
228,9.685,2003-11-10,374.73114,1747.0664
229,9.748,2003-11-11,374.41354,1747.1251
230,9.81,2003-11-12,375.32027999999997,1746.3688
231,9.903,2003-11-13,374.491,1746.7563
232,9.986,2003-11-14,375.07074,1755.5311
233,10.063,2003-11-15,374.53452000000004,1751.1067
234,10.173,2003-11-16,374.77505,1748.1162
235,10.274,2003-11-17,374.54987,1752.1241
236,10.335,2003-11-18,374.91614,1749.9548
237,10.35,2003-11-19,374.76162999999997,1744.9591
238,10.388,2003-11-20,375.08432,1745.1896
239,10.397,2003-11-21,375.3926,1747.1549
240,10.45,2003-11-22,375.45412999999996,1746.2235
241,10.5,2003-11-23,375.35635,1741.683
242,10.585,2003-11-24,375.01758,1742.9385
243,10.702,2003-11-25,374.6667,1743.3881
