,     Extent,time,xco2,xch4
113,11.92,2003-05-26,373.68478,1739.5953
114,12.063,2003-05-27,374.58997,1739.9491
115,12.256,2003-05-28,373.36287999999996,1745.0436
116,12.377,2003-05-29,374.44196,1742.2892
117,12.544,2003-05-30,374.19836000000004,1745.5166
118,12.65,2003-05-31,374.6424,1745.4385
119,12.721,2003-06-01,374.63092,1744.286
120,12.786,2003-06-02,374.9723,1743.5062
121,12.864,2003-06-03,374.4554,1744.5659
122,12.944,2003-06-04,373.7667,1743.7089999999998
123,13.008,2003-06-05,374.01627,1743.4429
124,13.145,2003-06-06,374.98434,1746.3529999999998
125,13.235,2003-06-07,374.04315,1741.96
126,13.331,2003-06-08,374.1104,1744.7567
127,13.435,2003-06-09,374.86972000000003,1751.0928
128,13.547,2003-06-10,373.95508,1742.7817
129,13.691,2003-06-11,375.70444,1743.7815
130,13.695,2003-06-12,374.40247,1745.2898
131,13.792,2003-06-13,374.39902,1746.8842
132,14.774,2003-06-25,371.7825,1748.9731
133,16.18,2003-07-14,374.1273,1748.5858
134,16.229,2003-07-15,373.4813,1750.3618
135,16.351,2003-07-16,374.34512,1747.3883
136,16.466,2003-07-17,372.71768,1749.0369
137,16.564,2003-07-18,372.83667,1749.8569
138,16.692,2003-07-19,371.9414,1750.2363
139,16.745,2003-07-20,372.10626,1747.9595
140,16.873,2003-07-21,373.1133,1749.0485
141,16.97,2003-07-22,373.47574,1753.5171
142,17.022,2003-07-23,372.99,1748.6566
143,17.085,2003-07-24,373.1159,1752.0735
144,17.205,2003-07-28,371.48062000000004,1740.0157
145,17.208,2003-07-29,370.6155,1749.9102
146,17.261,2003-07-30,371.7859,1749.095
147,17.329,2003-07-31,371.8331,1750.2083
148,17.326,2003-08-01,369.44266,1750.8135
149,17.333,2003-08-02,371.90192,1753.0521
150,17.432,2003-08-03,371.7535,1749.5156
151,17.325,2003-08-04,370.2545,1754.0885
152,17.271,2003-08-05,370.15265,1754.7320000000002
153,17.278,2003-08-06,370.45923,1758.7291
154,17.298,2003-08-07,369.36536,1754.7067
155,17.397,2003-08-08,371.49567,1755.6569
156,17.495,2003-08-09,369.79236000000003,1751.3136
157,17.519,2003-08-10,370.4001,1749.4098
158,17.454,2003-08-11,371.74924,1755.1688
159,17.44,2003-08-12,369.93582000000004,1757.4364
160,17.912,2003-08-29,375.00085,1767.9843
161,17.944,2003-08-30,372.20255,1763.4584
162,17.955,2003-08-31,371.92166000000003,1762.4542
163,17.93,2003-09-01,373.1416,1752.7113
164,17.925,2003-09-02,372.69417999999996,1759.0910000000001
165,17.918,2003-09-03,371.52423,1757.1132
166,17.905,2003-09-04,372.92900000000003,1755.5249
167,18.083,2003-09-08,372.7819,1757.9005
168,18.073,2003-09-09,372.45184,1755.4718
169,18.05,2003-09-10,371.43627999999995,1751.2704
170,18.113,2003-09-11,370.84424,1760.2554
171,18.189,2003-09-12,369.0108,1760.4949
172,18.292,2003-09-13,370.90594,1760.3438
173,18.263,2003-09-14,371.52615,1759.8953
174,18.21,2003-09-15,371.47546,1764.8759
175,18.233,2003-09-16,371.0299,1764.8701
176,18.334,2003-09-17,371.1959,1763.889
177,18.378,2003-09-18,371.6104,1757.1437
178,18.467,2003-09-19,371.50214,1759.0499
179,18.548,2003-09-20,371.55246,1756.181
180,18.583,2003-09-21,371.3302,1755.106
181,18.554,2003-09-22,371.76135,1759.345
182,18.549,2003-09-23,371.76062,1754.8407
183,18.629,2003-09-24,373.24712999999997,1757.6570000000002
184,18.68,2003-09-25,372.8205,1757.0559
185,18.611,2003-09-26,372.94513,1765.2942
186,18.582,2003-09-27,373.11435,1761.0276
187,18.611,2003-09-28,373.5266,1762.1807
188,18.587,2003-09-29,373.22665,1763.7236
189,18.581,2003-09-30,373.06915,1756.0934
190,18.56,2003-10-01,373.18057000000005,1761.9987
191,18.539,2003-10-02,372.74347,1761.2220000000002
192,18.573,2003-10-03,373.89867999999996,1753.2122
193,18.591,2003-10-04,373.12307999999996,1757.2649
194,18.536,2003-10-05,372.68082000000004,1756.5613
195,18.45,2003-10-06,373.71906,1756.0510000000002
196,18.373,2003-10-07,373.35995,1757.9597
197,18.404,2003-10-08,373.0052,1757.4832
198,18.278,2003-10-09,374.02283,1760.3586
199,18.208,2003-10-10,374.1106,1754.3196
200,18.112,2003-10-11,373.3822,1760.8625
201,18.103,2003-10-12,372.77112,1752.6345
202,18.1,2003-10-13,374.44077000000004,1758.1147
203,18.071,2003-10-14,374.15244,1756.4594
204,18.085,2003-10-15,374.18102999999996,1753.1896
205,18.065,2003-10-16,374.10086,1754.2262
206,18.102,2003-10-17,374.41922,1752.3556
207,18.135,2003-10-18,373.68134,1760.1337
208,18.185,2003-10-19,374.38696,1752.1112
209,18.256,2003-10-20,374.05697999999995,1756.0876
210,18.228,2003-10-21,373.31885,1750.5161
211,18.155,2003-10-22,374.7902,1756.9669
212,18.078,2003-10-23,374.80377000000004,1756.0964
213,18.13,2003-10-24,373.8228,1758.1407
214,18.073,2003-10-25,374.89423,1747.5045
215,18.006,2003-10-26,374.30154,1748.9985
216,18.059,2003-10-27,373.5314,1754.1877
