,time,temperature_2m,Snow_albedo,snow_melt,surface_pressure,Total_column_ozone
0,1979-01-01,255.52795593449298,0.8565347982325621,3.6749738052177973e-06,80884.35910415037,0.006313254745281866
1,1979-02-01,249.1519871139972,0.8565400975654521,3.973923477067882e-08,80559.10756908351,0.006018898308458624
2,1979-03-01,242.58161856915058,0.8565347612773021,9.692198493528204e-09,80029.68586876974,0.006080458656038092
3,1979-04-01,239.4757436965543,0.8565400789098985,5.515169102434449e-09,80135.93928537243,0.0059070415400179046
4,1979-05-01,235.6304758490612,0.856545468538373,4.656612999999883e-10,79953.8112821967,0.00599865320121226
5,1979-06-01,235.37787238803043,0.8565347783281049,4.656612999999883e-10,79923.69647768594,0.006075920332370532
6,1979-07-01,230.93808746986937,0.8565400675509073,4.656612999999883e-10,79126.12717895511,0.00631346842655355
7,1979-08-01,232.5399759726501,0.8565401003337251,4.656612999999883e-10,79817.36343211062,0.006346030081138284
8,1979-09-01,235.8379224591245,0.8565347729045647,4.656612999999883e-10,79840.72864223778,0.00591547206713046
9,1979-10-01,239.5767372001601,0.8565401076631115,4.656612999999883e-10,79800.06483716909,0.006581503849192371
10,1979-11-01,248.69725658638595,0.8565347352457959,7.325944478308591e-07,80582.13377412412,0.0071944725075031015
11,1979-12-01,255.31364937343983,0.8565401601297064,1.496128983089406e-06,81287.57496952104,0.00713584148865558
12,1980-01-01,255.58857401400124,0.8565401004626746,2.0306100453338195e-06,81091.75236607918,0.006520735382163856
13,1980-02-01,250.13697938355816,0.8565401128435968,2.088690924992929e-07,81062.5407049568,0.00625802402351625
14,1980-03-01,244.0763186035024,0.8565348083220361,2.063989221092515e-09,80686.96827779834,0.006315789023672418
15,1980-04-01,240.29037576792717,0.8565401333008333,4.656612999999883e-10,80844.65388185186,0.006167101201784747
16,1980-05-01,238.69103607369857,0.8565401331055104,4.656612999999883e-10,80498.23567263925,0.0063126448009511865
17,1980-06-01,235.90365692265155,0.8565401252251739,4.656612999999883e-10,80024.91683662366,0.00655354491654872
18,1980-07-01,236.8285036141193,0.8565454764783568,4.656612999999883e-10,80779.36161148941,0.006366003707924835
19,1980-08-01,235.81586754787475,0.8565454625116913,4.656612999999883e-10,80376.42994459662,0.00631307105658204
20,1980-09-01,236.3827356464982,0.8565348359560264,4.656612999999883e-10,80492.10283852357,0.005562966131252218
21,1980-10-01,240.03857500204464,0.8565401191773687,4.656612999999883e-10,79622.53662015648,0.005392820167956607
22,1980-11-01,249.74603003573827,0.8565454450876409,4.656612999999883e-10,81016.83057692544,0.00654671492252096
23,1980-12-01,254.82938116171368,0.8565400843868726,1.1475046416366431e-06,80965.31481456514,0.007013417060637625
24,1981-01-01,255.42347867822312,0.8565401634093847,4.966189366187343e-07,80936.35257496072,0.006340796154494553
25,1981-02-01,250.10208167250562,0.8565401231582164,3.372228153859747e-08,80683.31696131702,0.005973999648259798
26,1981-03-01,244.18742086837372,0.8565400839081442,2.088419410536417e-09,80960.08981995897,0.005889469793753063
27,1981-04-01,238.410072692118,0.8565401239095323,2.1517544286790584e-08,80542.48905978425,0.0062472944472102025
28,1981-05-01,237.77304167522232,0.8565347457927966,1.086577054479303e-09,80418.9309270689,0.006270265606694385
29,1981-06-01,236.60950449598286,0.8565400829445455,4.656612999999883e-10,80121.90929718106,0.006328305689981215
30,1981-07-01,237.33592710985462,0.8565347843096829,4.656612999999883e-10,80589.40560217173,0.0062861066564807964
31,1981-08-01,236.41404494570216,0.8565401007207899,4.656612999999883e-10,80840.48717944548,0.006203304777723346
32,1981-09-01,235.68841998465854,0.8565348019786149,4.656612999999883e-10,80130.75923684322,0.005805083702923135
33,1981-10-01,239.8206608116829,0.8565401389821169,4.656612999999883e-10,79850.86036024673,0.005361828471150213
34,1981-11-01,247.7071814749181,0.8565347261618785,8.792365812427223e-09,79930.9956941503,0.006571494320269644
35,1981-12-01,255.20949310680317,0.8565400968556568,1.200714024817008e-07,80338.4039149374,0.006999935362397491
36,1982-01-01,255.6948673849331,0.8565400988085083,2.3687547271532997e-06,81172.14072477994,0.006207057076139698
37,1982-02-01,249.7781768586648,0.8565401141116522,3.6867227797763176e-08,80595.03092139654,0.005955077474833684
38,1982-03-01,240.44735470941055,0.8565401503729766,2.996793501030558e-08,79653.84434645453,0.006074796725624406
39,1982-04-01,237.50640141950402,0.8565400635962295,4.656612999999883e-10,79685.43241739365,0.005977965507966764
40,1982-05-01,237.5706765766724,0.8565401113764883,4.656612999999883e-10,80120.23771933603,0.006062568227420721
41,1982-06-01,235.89442851687699,0.8565348202923581,4.656612999999883e-10,79917.33932991582,0.006159815345921964
42,1982-07-01,235.67926865050202,0.8565400914872341,4.656612999999883e-10,80386.26945664966,0.006098110978024405
43,1982-08-01,233.98630361644715,0.856540114986651,4.656612999999883e-10,79637.44089316169,0.0059979008888145615
44,1982-09-01,234.07007870942172,0.8565400925190326,4.656612999999883e-10,79339.43791713865,0.005344079613540094
45,1982-10-01,241.14710944811213,0.8565294003049632,4.656612999999883e-10,80069.50311222539,0.005628005881872851
46,1982-11-01,250.56685663164865,0.8565347509525914,4.656612999999883e-10,80795.94267581525,0.0060099371009119966
47,1982-12-01,256.3646119687092,0.8565401584382583,1.0142163085167672e-06,81693.1533742647,0.006798644455138498
48,1983-01-01,255.55991654798007,0.8565454613250688,9.199979631695231e-07,81417.05289819991,0.006301612191856485
49,1983-02-01,248.96101106699416,0.8565347803297118,1.1539161518732298e-08,81018.67345218884,0.006150616047809958
