Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1978","1978","?C","-1.649","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1979","1979","?C","0.152","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1980","1980","?C","0.685","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1981","1981","?C","1.681","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1982","1982","?C","-0.789","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1983","1983","?C","-0.486","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1984","1984","?C","0.358","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1985","1985","?C","1.318","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1986","1986","?C","0.725","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1987","1987","?C","0.467","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1988","1988","?C","0.312","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1989","1989","?C","-2.013","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1990","1990","?C","0.654","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1991","1991","?C","-0.285","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1992","1992","?C","-0.616","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1993","1993","?C","-0.263","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1994","1994","?C","-0.54","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1995","1995","?C","-2.508","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1996","1996","?C","-0.804","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1997","1997","?C","-0.535","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1998","1998","?C","0.147","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","1999","1999","?C","1.134","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2000","2000","?C","-1.911","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2001","2001","?C","-0.158","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2002","2002","?C","1.351","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2003","2003","?C","0.32","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2004","2004","?C","0.645","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2005","2005","?C","1.791","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2006","2006","?C","0.109","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2007","2007","?C","1.063","Fc","Calculated data"
"ET","Temperature change","30","Antarctica","7271","Temperature change","7001","January","2008","2008","?C","-0.686","Fc","Calculated data"
