time,temperature_2m,siconc,Snow_albedo,snow_melt,surface_pressure,Total_column_ozone,     Extent
1979-01-01,255.527955934493,0.3935085477955973,0.8565347982325621,3.6749738052177973e-06,80884.35910415037,0.0063132547452818665,5.4022
1979-02-01,249.1519871139972,0.26876307484666884,0.8565400975654521,3.9739234770678814e-08,80559.10756908351,0.006018898308458624,3.1410714285714287
1979-03-01,242.58161856915058,0.3475820143570491,0.856534761277302,9.692198493528204e-09,80029.68586876974,0.006080458656038092,3.9993125
1979-04-01,239.4757436965543,0.613825592092193,0.8565400789098985,5.515169102434449e-09,80135.93928537243,0.005907041540017905,7.485533333333333
1979-05-01,235.63047584906118,0.814768169444902,0.856545468538373,4.656612999999884e-10,79953.8112821967,0.00599865320121226,10.826666666666664
1979-06-01,235.37787238803043,0.9035912546733951,0.856534778328105,4.656612999999884e-10,79923.69647768594,0.006075920332370532,14.187000000000001
1979-07-01,230.93808746986937,0.9333156124637724,0.8565400675509073,4.656612999999884e-10,79126.12717895511,0.00631346842655355,16.516875000000002
1979-08-01,232.53997597265015,0.9231183075923702,0.8565401003337251,4.656612999999884e-10,79817.36343211062,0.0063460300811382835,17.698266666666665
1979-09-01,235.83792245912454,0.929736884562133,0.8565347729045647,4.656612999999884e-10,79840.72864223777,0.005915472067130459,18.195533333333334
1979-10-01,239.57673720016007,0.9274178773912056,0.8565401076631115,4.656612999999884e-10,79800.06483716909,0.006581503849192371,17.820499999999996
1979-11-01,248.69725658638595,0.8672631548190245,0.8565347352457959,7.325944478308592e-07,80582.13377412413,0.0071944725075031015,15.337066666666665
1979-12-01,255.31364937343983,0.5558011488138278,0.8565401601297064,1.4961289830894058e-06,81287.57496952104,0.00713584148865558,9.235800000000001
1980-01-01,255.58857401400124,0.3378893623095406,0.8565401004626746,2.0306100453338195e-06,81091.75236607918,0.006520735382163855,4.562
1980-02-01,250.13697938355818,0.23539811767720487,0.8565401128435968,2.088690924992929e-07,81062.5407049568,0.00625802402351625,2.818357142857143
1980-03-01,244.07631860350233,0.30157366469290897,0.8565348083220361,2.063989221092515e-09,80686.96827779834,0.006315789023672418,3.2948749999999998
1980-04-01,240.29037576792715,0.4659810862034205,0.8565401333008333,4.656612999999884e-10,80844.65388185186,0.006167101201784747,5.405
1980-05-01,238.6910360736986,0.6527268120518095,0.8565401331055104,4.656612999999884e-10,80498.23567263925,0.006312644800951187,8.856666666666667
1980-06-01,235.90365692265155,0.7684580565390923,0.8565401252251739,4.656612999999884e-10,80024.91683662366,0.006553544916548719,12.490266666666665
1980-07-01,236.82850361411934,0.8272826980670522,0.8565454764783568,4.656612999999884e-10,80779.3616114894,0.006366003707924835,15.564437499999999
1980-08-01,235.81586754787475,0.8446042913152787,0.8565454625116913,4.656612999999884e-10,80376.42994459663,0.006313071056582042,17.805600000000002
1980-09-01,236.3827356464982,0.8767386976508607,0.8565348359560264,4.656612999999884e-10,80492.10283852358,0.005562966131252218,18.81726666666667
1980-10-01,240.03857500204464,0.8593242988309212,0.8565401191773687,4.656612999999884e-10,79622.53662015648,0.005392820167956608,18.567875
1980-11-01,249.74603003573822,0.8192590462743061,0.8565454450876409,4.656612999999884e-10,81016.83057692542,0.00654671492252096,16.133133333333333
1980-12-01,254.8293811617137,0.5964894196429087,0.8565400843868726,1.147504641636643e-06,80965.31481456514,0.007013417060637624,10.155866666666668
1981-01-01,255.42347867822312,0.3464146620128766,0.8565401634093847,4.966189366187343e-07,80936.35257496072,0.006340796154494553,4.411875
1981-02-01,250.10208167250562,0.24145939941823433,0.8565401231582164,3.3722281538597476e-08,80683.31696131702,0.005973999648259798,2.8734999999999995
1981-03-01,244.18742086837375,0.31160486589280306,0.8565400839081442,2.088419410536417e-09,80960.08981995896,0.005889469793753063,3.391533333333333
1981-04-01,238.410072692118,0.5332821903018983,0.8565401239095323,2.151754428679058e-08,80542.48905978425,0.006247294447210202,5.838466666666667
1981-05-01,237.7730416752223,0.7577280211947545,0.8565347457927966,1.086577054479303e-09,80418.9309270689,0.006270265606694385,9.354624999999999
1981-06-01,236.60950449598283,0.829825522901037,0.8565400829445455,4.656612999999884e-10,80121.90929718105,0.006328305689981215,13.108533333333334
1981-07-01,237.33592710985462,0.8738449853963296,0.8565347843096829,4.656612999999884e-10,80589.40560217173,0.0062861066564807964,16.038733333333333
1981-08-01,236.4140449457022,0.9003012527409006,0.8565401007207899,4.656612999999884e-10,80840.48717944548,0.006203304777723346,17.7365
1981-09-01,235.68841998465857,0.8780017192546684,0.8565348019786149,4.656612999999884e-10,80130.75923684322,0.005805083702923135,18.596466666666668
1981-10-01,239.82066081168287,0.883597388600549,0.8565401389821169,4.656612999999884e-10,79850.86036024672,0.0053618284711502125,18.293733333333332
1981-11-01,247.70718147491812,0.8542476703302853,0.8565347261618785,8.79236581242722e-09,79930.9956941503,0.006571494320269644,16.11133333333333
1981-12-01,255.20949310680317,0.6641376877980442,0.8565400968556568,1.2007140248170077e-07,80338.4039149374,0.006999935362397491,10.894812499999999
1982-01-01,255.69486738493308,0.42092686389362405,0.8565400988085083,2.3687547271533e-06,81172.14072477994,0.006207057076139698,5.260066666666666
1982-02-01,249.77817685866478,0.27518094124132314,0.8565401141116522,3.686722779776318e-08,80595.03092139654,0.005955077474833684,3.1284999999999994
1982-03-01,240.44735470941058,0.40633805058955047,0.8565401503729766,2.996793501030559e-08,79653.84434645453,0.006074796725624406,4.287812499999999
1982-04-01,237.50640141950396,0.6927665773171261,0.8565400635962295,4.656612999999884e-10,79685.43241739365,0.005977965507966764,7.722933333333333
